Recall,Precision_pedestrian,Precision_people,Precision_bicycle,Precision_car,Precision_van,Precision_truck,Precision_tricycle,Precision_awning-tricycle,Precision_bus,Precision_motor
0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00100,1.00000,0.89286,1.00000,0.98944,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00200,1.00000,0.89286,1.00000,0.98944,0.92308,1.00000,1.00000,0.80000,1.00000,1.00000
0.00300,1.00000,0.89286,0.93750,0.98944,0.92308,1.00000,1.00000,0.80000,1.00000,0.95522
0.00400,0.98324,0.89286,0.93750,0.98944,0.92308,1.00000,1.00000,0.80000,1.00000,0.95522
0.00501,0.98324,0.89286,0.93750,0.98944,0.92308,1.00000,1.00000,0.80000,1.00000,0.95522
0.00601,0.98324,0.89286,0.93750,0.98944,0.92308,1.00000,1.00000,0.80000,1.00000,0.95522
0.00701,0.98324,0.89286,0.93750,0.98944,0.92308,1.00000,0.90909,0.80000,1.00000,0.95522
0.00801,0.98324,0.89286,0.93750,0.98944,0.92308,1.00000,0.90909,0.77778,1.00000,0.95522
0.00901,0.98324,0.89286,0.93750,0.98944,0.92308,1.00000,0.90909,0.77778,1.00000,0.95522
0.01001,0.98324,0.89286,0.93750,0.98944,0.92308,1.00000,0.90909,0.77778,1.00000,0.95522
0.01101,0.98324,0.89286,0.93750,0.98944,0.92308,1.00000,0.90909,0.77778,1.00000,0.95522
0.01201,0.98324,0.89286,0.93333,0.98944,0.92308,1.00000,0.90909,0.77778,1.00000,0.95522
0.01301,0.98324,0.89286,0.93333,0.98944,0.92308,1.00000,0.90909,0.77778,1.00000,0.95522
0.01401,0.98324,0.89286,0.93333,0.98944,0.92308,1.00000,0.90909,0.77778,1.00000,0.94958
0.01502,0.98324,0.89286,0.93333,0.98944,0.92308,1.00000,0.90909,0.77778,1.00000,0.94958
0.01602,0.98324,0.89286,0.93333,0.98944,0.92308,1.00000,0.90909,0.77778,1.00000,0.94958
0.01702,0.98324,0.89286,0.93333,0.98944,0.92308,1.00000,0.90909,0.77778,1.00000,0.94958
0.01802,0.98324,0.89286,0.93333,0.98944,0.92308,1.00000,0.90909,0.77778,1.00000,0.94958
0.01902,0.98324,0.89286,0.93333,0.98944,0.92308,1.00000,0.90909,0.77778,1.00000,0.94958
0.02002,0.97967,0.89286,0.93333,0.98813,0.92308,1.00000,0.90909,0.77778,1.00000,0.94958
0.02102,0.97967,0.89286,0.93333,0.98813,0.92308,1.00000,0.90909,0.77778,1.00000,0.94958
0.02202,0.97967,0.89286,0.90909,0.98813,0.92308,0.94444,0.90909,0.77778,1.00000,0.94958
0.02302,0.97967,0.89286,0.90909,0.98813,0.92308,0.91045,0.90909,0.77778,1.00000,0.94958
0.02402,0.97967,0.89286,0.87805,0.98641,0.92308,0.91045,0.90909,0.77778,1.00000,0.93939
0.02503,0.97967,0.89286,0.87805,0.98641,0.92308,0.91045,0.90909,0.77778,1.00000,0.93939
0.02603,0.97967,0.89286,0.87805,0.98641,0.92308,0.91045,0.90909,0.77778,1.00000,0.93793
0.02703,0.97967,0.89286,0.87805,0.98641,0.92308,0.91045,0.90909,0.75000,1.00000,0.93793
0.02803,0.97799,0.89286,0.85714,0.98641,0.92308,0.91045,0.90909,0.75000,1.00000,0.93373
0.02903,0.97799,0.89286,0.85714,0.98641,0.92308,0.91045,0.85075,0.67742,1.00000,0.93373
0.03003,0.97799,0.89286,0.85714,0.98641,0.92308,0.91045,0.85075,0.67742,1.00000,0.93373
0.03103,0.97799,0.89286,0.85714,0.98641,0.92308,0.91045,0.85075,0.67742,1.00000,0.93373
0.03203,0.97799,0.89286,0.85714,0.98641,0.92308,0.91045,0.85075,0.67742,1.00000,0.93064
0.03303,0.97799,0.89286,0.83019,0.98641,0.92308,0.91045,0.85075,0.67742,1.00000,0.92778
0.03403,0.97799,0.89286,0.83019,0.98641,0.92308,0.91045,0.85075,0.67742,1.00000,0.92778
0.03504,0.97799,0.89286,0.79452,0.98641,0.92308,0.91045,0.85075,0.67742,1.00000,0.92271
0.03604,0.97772,0.89286,0.79452,0.98641,0.92308,0.91045,0.85075,0.67742,1.00000,0.92271
0.03704,0.97772,0.89286,0.79452,0.98507,0.92308,0.91045,0.85075,0.67742,1.00000,0.92271
0.03804,0.97772,0.89286,0.79452,0.98351,0.92308,0.91045,0.85075,0.67742,1.00000,0.92271
0.03904,0.97772,0.89286,0.79452,0.98351,0.92308,0.91045,0.85075,0.67742,1.00000,0.92271
0.04004,0.97656,0.89286,0.79452,0.98351,0.92308,0.91045,0.85075,0.61538,1.00000,0.92056
0.04104,0.97656,0.89286,0.79452,0.98351,0.92308,0.91045,0.85075,0.61538,1.00000,0.92000
0.04204,0.97656,0.89286,0.79452,0.98351,0.92308,0.91045,0.85075,0.61538,1.00000,0.92000
0.04304,0.97656,0.89286,0.79452,0.98351,0.92308,0.91045,0.85075,0.61538,1.00000,0.91398
0.04404,0.97656,0.89286,0.79452,0.98351,0.92308,0.91045,0.85075,0.61538,1.00000,0.91398
0.04505,0.97656,0.89286,0.79452,0.98351,0.92308,0.91045,0.85075,0.61538,1.00000,0.91398
0.04605,0.97656,0.89286,0.79012,0.98351,0.92308,0.91045,0.85075,0.59524,1.00000,0.91398
0.04705,0.97656,0.89286,0.79012,0.98300,0.92308,0.91045,0.85075,0.54167,1.00000,0.91398
0.04805,0.97656,0.89286,0.79012,0.98300,0.92308,0.91045,0.85075,0.54167,1.00000,0.91398
0.04905,0.97656,0.89286,0.79012,0.98300,0.91818,0.91045,0.85075,0.52941,1.00000,0.91398
0.05005,0.97656,0.89286,0.78313,0.98066,0.91818,0.91045,0.85075,0.52941,1.00000,0.91398
0.05105,0.97656,0.89286,0.77528,0.97951,0.91818,0.91045,0.85075,0.52381,1.00000,0.91398
0.05205,0.97656,0.89286,0.77528,0.97951,0.89744,0.91045,0.85075,0.52381,1.00000,0.91398
0.05305,0.97656,0.89286,0.77528,0.97951,0.89744,0.91045,0.85075,0.52381,1.00000,0.89796
