Recall,Precision_awning-tricycle,Precision_bicycle,Precision_bus,Precision_car,Precision_freight_car,Precision_motor,Precision_person,Precision_tricycle,Precision_truck,Precision_van
0.00000,1.00000,1.00000,1.00000,1.00000,0.87273,1.00000,1.00000,1.00000,1.00000,1.00000
0.00100,1.00000,1.00000,1.00000,1.00000,0.87273,0.93258,0.94513,1.00000,1.00000,1.00000
0.00200,0.65000,1.00000,1.00000,1.00000,0.87273,0.93258,0.94513,1.00000,1.00000,1.00000
0.00300,0.65000,1.00000,1.00000,1.00000,0.87273,0.93258,0.94513,1.00000,1.00000,1.00000
0.00400,0.65000,0.90000,1.00000,1.00000,0.87273,0.93258,0.94513,1.00000,1.00000,1.00000
0.00501,0.65000,0.90000,1.00000,1.00000,0.87273,0.93258,0.94513,1.00000,1.00000,1.00000
0.00601,0.65000,0.90000,1.00000,1.00000,0.87273,0.93258,0.94513,0.90000,1.00000,1.00000
0.00701,0.65000,0.89474,1.00000,1.00000,0.87273,0.93258,0.94513,0.90000,1.00000,1.00000
0.00801,0.65000,0.89474,1.00000,1.00000,0.87273,0.93258,0.94513,0.90000,1.00000,1.00000
0.00901,0.65000,0.89474,1.00000,1.00000,0.87273,0.93258,0.94513,0.84615,1.00000,1.00000
0.01001,0.65000,0.89474,1.00000,1.00000,0.87273,0.93258,0.94513,0.84615,1.00000,1.00000
0.01101,0.65000,0.89474,1.00000,1.00000,0.87273,0.93258,0.94513,0.83333,1.00000,1.00000
0.01201,0.65000,0.89474,1.00000,1.00000,0.87273,0.93258,0.94513,0.83333,1.00000,1.00000
0.01301,0.65000,0.89474,1.00000,1.00000,0.87273,0.93258,0.94513,0.83333,1.00000,1.00000
0.01401,0.65000,0.86957,1.00000,1.00000,0.87273,0.93258,0.94513,0.83333,1.00000,1.00000
0.01502,0.65000,0.86957,1.00000,1.00000,0.87273,0.93258,0.94513,0.83333,1.00000,1.00000
0.01602,0.65000,0.84000,1.00000,1.00000,0.87273,0.93258,0.94513,0.83333,1.00000,1.00000
0.01702,0.65000,0.83333,1.00000,1.00000,0.87273,0.93000,0.94513,0.83333,1.00000,1.00000
0.01802,0.65000,0.83333,1.00000,1.00000,0.87273,0.93000,0.94513,0.83333,1.00000,1.00000
0.01902,0.65000,0.83333,1.00000,1.00000,0.87273,0.93000,0.94513,0.83333,1.00000,1.00000
0.02002,0.65000,0.83333,1.00000,1.00000,0.87273,0.92913,0.94513,0.83333,1.00000,1.00000
0.02102,0.65000,0.83333,1.00000,1.00000,0.87273,0.92913,0.94513,0.83333,1.00000,1.00000
0.02202,0.65000,0.83333,1.00000,1.00000,0.87273,0.92913,0.94513,0.83333,1.00000,1.00000
0.02302,0.65000,0.83333,1.00000,1.00000,0.87273,0.92913,0.94513,0.83333,1.00000,1.00000
0.02402,0.65000,0.83333,1.00000,1.00000,0.87273,0.92913,0.94513,0.81818,1.00000,1.00000
0.02503,0.65000,0.83333,1.00000,1.00000,0.87273,0.92806,0.94513,0.81818,1.00000,1.00000
0.02603,0.65000,0.83333,1.00000,1.00000,0.87273,0.92806,0.94513,0.81818,1.00000,1.00000
0.02703,0.65000,0.83333,1.00000,1.00000,0.87273,0.92763,0.94513,0.81818,1.00000,1.00000
0.02803,0.65000,0.83333,1.00000,1.00000,0.87273,0.92763,0.94513,0.81818,1.00000,1.00000
0.02903,0.65000,0.83333,1.00000,1.00000,0.87273,0.92754,0.94513,0.81818,1.00000,1.00000
0.03003,0.65000,0.83333,1.00000,1.00000,0.87273,0.92754,0.94513,0.81818,1.00000,1.00000
0.03103,0.65000,0.83333,1.00000,1.00000,0.87273,0.92754,0.94513,0.81818,1.00000,1.00000
0.03203,0.65000,0.82692,1.00000,1.00000,0.87273,0.92754,0.94513,0.81818,1.00000,1.00000
0.03303,0.65000,0.82692,1.00000,1.00000,0.87273,0.92754,0.94513,0.81818,1.00000,1.00000
0.03403,0.65000,0.80000,1.00000,1.00000,0.87273,0.92754,0.94513,0.81818,1.00000,1.00000
0.03504,0.65000,0.77273,1.00000,1.00000,0.87273,0.92754,0.94513,0.80702,1.00000,0.97872
0.03604,0.65000,0.77273,1.00000,1.00000,0.87273,0.92754,0.94513,0.80702,1.00000,0.97872
0.03704,0.65000,0.77273,1.00000,1.00000,0.87273,0.92754,0.94513,0.80702,1.00000,0.97872
0.03804,0.65000,0.77273,1.00000,1.00000,0.87273,0.92754,0.94513,0.80702,1.00000,0.97872
0.03904,0.65000,0.77273,1.00000,1.00000,0.87273,0.92754,0.94513,0.80702,1.00000,0.97872
0.04004,0.65000,0.73611,1.00000,1.00000,0.87273,0.92727,0.94513,0.80702,1.00000,0.97872
0.04104,0.65000,0.73611,1.00000,1.00000,0.87273,0.92727,0.94513,0.80702,1.00000,0.97872
0.04204,0.65000,0.71264,1.00000,1.00000,0.87273,0.92000,0.94513,0.80702,1.00000,0.97872
0.04304,0.65000,0.71264,1.00000,1.00000,0.87273,0.91379,0.94513,0.80702,1.00000,0.97872
0.04404,0.65000,0.71264,1.00000,1.00000,0.87273,0.91139,0.94513,0.79710,1.00000,0.97872
0.04505,0.65000,0.71264,1.00000,1.00000,0.87273,0.90800,0.94513,0.79710,1.00000,0.97872
0.04605,0.65000,0.71264,1.00000,1.00000,0.87273,0.90800,0.94513,0.79710,1.00000,0.97872
0.04705,0.65000,0.71264,1.00000,1.00000,0.87273,0.90551,0.94513,0.79710,1.00000,0.97872
0.04805,0.65000,0.71264,1.00000,1.00000,0.87273,0.90076,0.94513,0.79710,1.00000,0.97872
0.04905,0.64286,0.68817,1.00000,1.00000,0.87273,0.89572,0.94513,0.79710,1.00000,0.97872
0.05005,0.64286,0.68421,1.00000,1.00000,0.87273,0.89572,0.94420,0.79710,1.00000,0.97872
0.05105,0.64286,0.68041,1.00000,1.00000,0.87273,0.89572,0.94269,0.79710,1.00000,0.97872
0.05205,0.64286,0.67677,1.00000,1.00000,0.87273,0.89572,0.94154,0.79710,1.00000,0.97872
0.05305,0.64286,0.66935,1.00000,1.00000,0.87273,0.89572,0.94154,0.78873,1.00000,0.97872
0.05405,0.64286,0.66935,1.00000,1.00000,0.87273,0.89572,0.94154,0.78082,1.00000,0.97872
0.05506,0.64286,0.66935,1.00000,1.00000,0.87273,0.89572,0.94154,0.77632,1.00000,0.97872
0.05606,0.64286,0.66935,1.00000,1.00000,0.87273,0.89572,0.94154,0.77632,1.00000,0.97872
0.05706,0.64286,0.66935,1.00000,1.00000,0.87273,0.89572,0.94059,0.77215,1.00000,0.97872
0.05806,0.64286,0.66935,1.00000,1.00000,0.87273,0.89572,0.93951,0.77215,1.00000,0.97872
0.05906,0.64286,0.66935,1.00000,1.00000,0.87273,0.89572,0.93951,0.77119,1.00000,0.97872
0.06006,0.64286,0.66935,1.00000,1.00000,0.87273,0.89572,0.93951,0.77119,1.00000,0.97872
0.06106,0.64286,0.66935,1.00000,1.00000,0.87273,0.89572,0.93951,0.77119,1.00000,0.97872
0.06206,0.64286,0.66935,1.00000,1.00000,0.87273,0.89572,0.93951,0.77119,1.00000,0.97872
0.06306,0.64286,0.66935,1.00000,1.00000,0.87273,0.89572,0.93951,0.77119,0.98990,0.97872
0.06406,0.64286,0.66935,1.00000,1.00000,0.87273,0.89572,0.93951,0.77119,0.98990,0.97872
0.06507,0.64286,0.66667,1.00000,1.00000,0.87273,0.89572,0.93951,0.77119,0.98990,0.97872
0.06607,0.64286,0.66176,1.00000,1.00000,0.87273,0.89572,0.93951,0.77119,0.98990,0.96154
0.06707,0.64286,0.66176,1.00000,1.00000,0.87273,0.89572,0.93951,0.77119,0.98990,0.96154
0.06807,0.59677,0.66176,1.00000,1.00000,0.87273,0.89572,0.93914,0.77119,0.98990,0.96154
0.06907,0.59677,0.66176,1.00000,1.00000,0.87273,0.89446,0.93593,0.77119,0.98990,0.96154
0.07007,0.57353,0.65493,1.00000,1.00000,0.87273,0.89091,0.93432,0.77119,0.98990,0.96154
0.07107,0.57353,0.65493,1.00000,1.00000,0.87273,0.88945,0.93378,0.77119,0.98990,0.96154
0.07207,0.57353,0.65493,1.00000,1.00000,0.87273,0.88945,0.93217,0.77119,0.98990,0.93846
0.07307,0.57353,0.64626,1.00000,1.00000,0.87273,0.88889,0.93217,0.77119,0.98990,0.93846
0.07407,0.53247,0.63057,1.00000,1.00000,0.87273,0.88780,0.93217,0.77119,0.98773,0.93846
0.07508,0.53247,0.63057,1.00000,1.00000,0.87273,0.88558,0.93217,0.77119,0.98773,0.93846
0.07608,0.53247,0.63057,1.00000,1.00000,0.87273,0.88558,0.93217,0.77119,0.98773,0.93846
0.07708,0.53165,0.62733,1.00000,1.00000,0.87273,0.88558,0.93217,0.77119,0.98773,0.93846
