Class,Precision,Recall,F1-Score,mAP@0.5,mAP@0.5:0.95
awning-tricycle,0.29596,0.17481,0.21980,0.15812,0.09531
bicycle,0.29943,0.16783,0.21510,0.15395,0.06647
bus,0.93811,0.94274,0.94042,0.96937,0.73468
car,0.93021,0.91569,0.92289,0.96688,0.67903
freight_car,0.68011,0.65579,0.66773,0.67083,0.43696
motor,0.52613,0.46316,0.49264,0.45733,0.19994
person,0.74401,0.57960,0.65159,0.61763,0.22148
tricycle,0.40169,0.33493,0.36528,0.30490,0.16712
truck,0.80211,0.70993,0.75321,0.79951,0.57610
van,0.68839,0.61714,0.65082,0.67633,0.46632
All (Weighted Mean),0.79417,0.70739,0.74827,0.74771,0.42858
