                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7513,                 3.1819,                 2.6552,                0.40228,                0.12524,                0.14902,                0.06782,                 1.3445,                 1.6503,                 1.5234,               0.070013,              0.0033319,              0.0033319
                      2,                 1.2723,                 1.5159,                  1.387,                0.25755,                0.34154,                0.27992,                0.14896,                0.87866,                 1.1854,                 1.2253,               0.039991,              0.0066432,              0.0066432
                      3,                 1.0811,                 1.2483,                 1.2517,                 0.3585,                0.36023,                0.33365,                 0.1877,                0.85706,                  1.003,                 1.1662,              0.0099473,              0.0099325,              0.0099325
                      4,                 1.0287,                 1.1096,                 1.1867,                0.42409,                0.42684,                0.40131,                0.23186,                 0.8492,                0.89137,                  1.131,               0.009901,               0.009901,               0.009901
                      5,                 1.0343,                 1.0363,                  1.156,                0.44647,                0.49543,                0.45896,                0.26739,                0.87599,                0.84592,                 1.1115,               0.009901,               0.009901,               0.009901
                      6,                 1.0447,                0.97641,                  1.132,                0.50286,                0.51031,                0.49487,                0.29866,                0.92003,                 0.8066,                 1.1004,               0.009868,               0.009868,               0.009868
                      7,                 1.0698,                0.93544,                 1.1129,                0.55557,                0.51739,                0.52366,                0.32551,                0.93178,                0.77396,                 1.0786,               0.009835,               0.009835,               0.009835
                      8,                 1.1035,                0.91395,                 1.1035,                0.53287,                0.54041,                0.53216,                0.33345,                0.97868,                0.75956,                 1.0745,               0.009802,               0.009802,               0.009802
                      9,                 1.1343,                0.89317,                 1.0921,                0.58025,                0.56472,                0.56969,                0.35958,                 1.0121,                0.74617,                 1.0624,               0.009769,               0.009769,               0.009769
                     10,                 1.1719,                0.88053,                 1.0821,                0.59519,                0.55896,                0.57883,                0.36904,                 1.0369,                0.72956,                 1.0513,               0.009736,               0.009736,               0.009736
                     11,                 1.2063,                0.86749,                 1.0736,                0.61686,                0.59709,                 0.6038,                0.38639,                 1.0675,                 0.7153,                 1.0475,               0.009703,               0.009703,               0.009703
                     12,                 1.2312,                0.85422,                 1.0652,                0.62178,                0.59959,                 0.6082,                0.39426,                 1.0957,                0.70782,                 1.0432,                0.00967,                0.00967,                0.00967
                     13,                 1.2508,                0.83676,                 1.0601,                0.62682,                0.60823,                0.62009,                0.40264,                 1.1193,                0.69388,                 1.0387,               0.009637,               0.009637,               0.009637
                     14,                 1.2656,                0.83225,                 1.0576,                0.62874,                0.63068,                0.63171,                0.41305,                 1.1351,                0.68607,                 1.0343,               0.009604,               0.009604,               0.009604
                     15,                 1.2823,                0.81923,                 1.0522,                 0.6474,                0.62535,                0.63873,                0.41869,                 1.1494,                0.67968,                 1.0298,               0.009571,               0.009571,               0.009571
                     16,                 1.2925,                0.81479,                 1.0519,                0.65805,                0.63171,                0.65269,                0.42886,                  1.165,                0.66736,                 1.0302,               0.009538,               0.009538,               0.009538
                     17,                 1.2974,                0.79994,                 1.0467,                0.65438,                0.65007,                0.65894,                0.43599,                 1.1687,                0.65865,                 1.0246,               0.009505,               0.009505,               0.009505
                     18,                 1.3081,                0.79609,                 1.0443,                0.68036,                 0.6522,                0.66298,                 0.4383,                 1.1756,                0.64842,                  1.023,               0.009472,               0.009472,               0.009472
                     19,                 1.3093,                0.79151,                 1.0417,                0.69036,                0.65638,                0.67996,                0.45315,                 1.1842,                0.64882,                 1.0196,               0.009439,               0.009439,               0.009439
                     20,                  1.317,                0.78392,                 1.0404,                0.68754,                0.65899,                0.68259,                0.45094,                 1.1871,                0.64025,                 1.0172,               0.009406,               0.009406,               0.009406
                     21,                 1.3173,                0.77769,                 1.0377,                0.68469,                0.66091,                0.69158,                0.46131,                 1.1885,                0.63357,                 1.0161,               0.009373,               0.009373,               0.009373
                     22,                 1.3192,                0.77287,                 1.0384,                0.69019,                0.67385,                0.69028,                0.46329,                 1.1984,                0.63099,                 1.0168,                0.00934,                0.00934,                0.00934
                     23,                  1.316,                0.76644,                 1.0347,                0.68972,                0.67755,                0.69104,                0.46461,                 1.2026,                 0.6263,                 1.0155,               0.009307,               0.009307,               0.009307
                     24,                 1.3113,                0.76144,                 1.0301,                0.70697,                0.67539,                0.70342,                 0.4715,                 1.2051,                0.62279,                 1.0132,               0.009274,               0.009274,               0.009274
                     25,                 1.3147,                0.75558,                 1.0302,                0.70663,                0.67409,                0.70234,                0.47511,                 1.2008,                0.61747,                 1.0123,               0.009241,               0.009241,               0.009241
                     26,                 1.3125,                0.75493,                 1.0297,                0.70426,                0.68689,                0.70869,                0.47599,                 1.2019,                0.61299,                 1.0097,               0.009208,               0.009208,               0.009208
                     27,                 1.3089,                0.74967,                 1.0267,                0.70618,                0.69201,                0.71101,                0.47996,                 1.2007,                  0.611,                 1.0089,               0.009175,               0.009175,               0.009175
                     28,                 1.3035,                0.74086,                 1.0227,                0.72324,                0.67816,                0.71349,                0.48359,                 1.2057,                  0.606,                 1.0085,               0.009142,               0.009142,               0.009142
                     29,                  1.298,                0.73727,                 1.0215,                0.70798,                0.68733,                0.71185,                0.48266,                   1.21,                0.60702,                 1.0086,               0.009109,               0.009109,               0.009109
                     30,                 1.3038,                0.73664,                 1.0232,                0.71002,                0.70094,                0.71487,                0.48613,                 1.2063,                0.59901,                 1.0065,               0.009076,               0.009076,               0.009076
                     31,                 1.2979,                0.73109,                 1.0202,                0.71909,                0.70222,                0.72046,                0.48988,                 1.2054,                0.59752,                 1.0053,               0.009043,               0.009043,               0.009043
                     32,                 1.2994,                0.72767,                   1.02,                0.72585,                 0.6929,                 0.7225,                0.49318,                 1.2073,                0.59597,                 1.0047,                0.00901,                0.00901,                0.00901
                     33,                 1.3015,                0.72887,                 1.0187,                0.71986,                0.70599,                0.72704,                0.49491,                 1.2065,                0.59327,                 1.0038,               0.008977,               0.008977,               0.008977
                     34,                 1.3012,                0.72376,                 1.0196,                0.72256,                0.71131,                0.72862,                0.49815,                 1.2041,                0.58922,                  1.003,               0.008944,               0.008944,               0.008944
                     35,                 1.2985,                0.71884,                 1.0159,                0.72372,                0.71506,                0.73066,                0.50135,                 1.2055,                0.58713,                 1.0024,               0.008911,               0.008911,               0.008911
                     36,                  1.287,                0.71083,                 1.0151,                0.72923,                0.71149,                0.73292,                0.50484,                 1.2038,                0.58584,                 1.0012,               0.008878,               0.008878,               0.008878
                     37,                 1.2918,                 0.7128,                  1.015,                0.71471,                0.72951,                0.73673,                0.50711,                 1.2009,                0.58345,                 1.0003,               0.008845,               0.008845,               0.008845
                     38,                 1.2859,                0.70765,                 1.0135,                0.72673,                0.73027,                0.73996,                0.51085,                 1.2002,                 0.5809,                0.99936,               0.008812,               0.008812,               0.008812
                     39,                 1.2846,                0.70659,                 1.0127,                0.73687,                0.71584,                0.74375,                0.51289,                 1.2011,                0.57915,                0.99915,               0.008779,               0.008779,               0.008779
                     40,                  1.278,                0.70602,                 1.0111,                0.73605,                0.71487,                0.74265,                0.51281,                 1.2016,                0.57769,                0.99862,               0.008746,               0.008746,               0.008746
                     41,                 1.2813,                0.70538,                 1.0127,                0.74058,                0.71325,                 0.7459,                0.51475,                 1.2022,                0.57671,                0.99869,               0.008713,               0.008713,               0.008713
                     42,                 1.2804,                0.69947,                 1.0098,                0.74252,                0.72047,                0.74933,                0.51688,                 1.2021,                0.57437,                0.99857,                0.00868,                0.00868,                0.00868
                     43,                 1.2842,                0.69914,                 1.0093,                0.74912,                0.71063,                0.75061,                0.51731,                 1.2016,                 0.5729,                0.99813,               0.008647,               0.008647,               0.008647
                     44,                 1.2793,                0.69656,                 1.0089,                0.74471,                0.71792,                0.75124,                0.51693,                 1.2003,                0.57178,                0.99764,               0.008614,               0.008614,               0.008614
                     45,                 1.2736,                0.69146,                 1.0075,                0.75113,                0.71902,                0.75114,                0.51727,                 1.2007,                0.57102,                0.99686,               0.008581,               0.008581,               0.008581
                     46,                 1.2793,                0.69332,                 1.0079,                0.74241,                0.72697,                0.75265,                0.51857,                 1.2011,                0.57008,                0.99663,               0.008548,               0.008548,               0.008548
                     47,                 1.2719,                0.69002,                 1.0076,                0.74612,                0.72689,                0.75323,                0.51923,                  1.201,                0.56863,                0.99635,               0.008515,               0.008515,               0.008515
                     48,                 1.2739,                0.68844,                 1.0084,                0.74526,                0.72692,                0.75397,                 0.5202,                 1.2004,                 0.5671,                0.99605,               0.008482,               0.008482,               0.008482
                     49,                 1.2677,                0.68279,                 1.0054,                0.74608,                0.72804,                0.75518,                0.52098,                 1.2004,                0.56626,                0.99556,               0.008449,               0.008449,               0.008449
                     50,                 1.2741,                0.68644,                 1.0072,                0.74638,                 0.7291,                0.75523,                0.52166,                 1.2001,                0.56542,                0.99536,               0.008416,               0.008416,               0.008416
                     51,                 1.2607,                0.68127,                 1.0051,                0.74655,                0.72851,                0.75611,                0.52271,                 1.2015,                0.56419,                0.99518,               0.008383,               0.008383,               0.008383
                     52,                 1.2764,                0.68474,                 1.0074,                0.74741,                0.72871,                0.75654,                0.52369,                 1.2004,                0.56355,                0.99487,                0.00835,                0.00835,                0.00835
                     53,                 1.2732,                0.68287,                 1.0055,                0.74952,                 0.7274,                0.75744,                0.52444,                 1.1994,                0.56262,                0.99459,               0.008317,               0.008317,               0.008317
                     54,                 1.2571,                0.67651,                 1.0037,                 0.7512,                0.72754,                0.75863,                0.52506,                 1.1998,                0.56185,                0.99432,               0.008284,               0.008284,               0.008284
                     55,                   1.26,                0.67622,                 1.0024,                0.75376,                0.72877,                0.75973,                0.52677,                 1.1996,                 0.5608,                0.99393,               0.008251,               0.008251,               0.008251
                     56,                 1.2648,                 0.6737,                 1.0029,                0.75625,                0.72638,                0.76039,                0.52768,                  1.199,                   0.56,                0.99362,               0.008218,               0.008218,               0.008218
                     57,                 1.2632,                0.67449,                 1.0015,                0.75505,                0.72768,                0.76121,                0.52872,                  1.199,                0.55912,                0.99341,               0.008185,               0.008185,               0.008185
                     58,                 1.2641,                0.67324,                 1.0011,                0.75012,                0.73267,                0.76178,                0.52948,                 1.1987,                0.55866,                0.99321,               0.008152,               0.008152,               0.008152
                     59,                 1.2574,                0.66855,                0.99964,                0.75514,                0.72866,                0.76276,                0.53039,                  1.199,                0.55793,                0.99296,               0.008119,               0.008119,               0.008119
                     60,                 1.2578,                0.66773,                0.99871,                0.75325,                0.72947,                0.76308,                0.53051,                 1.1993,                0.55726,                0.99286,               0.008086,               0.008086,               0.008086
