                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9643,                 5.3119,                 3.9473,                0.00078,                0.00217,                 0.0004,                0.00011,                 4.8038,                  5.035,                 3.7057,               0.080412,             0.00039975,             0.00039975
                      2,                 4.3309,                 4.2986,                 3.2882,                0.01214,                0.01074,                0.00381,                0.00099,                 3.8382,                 3.3902,                 2.8813,                0.06081,             0.00079795,             0.00079795
                      3,                 3.1955,                 3.5577,                 2.5987,                0.06148,                0.07243,                 0.0403,                0.01472,                 2.3289,                 2.5604,                 1.9898,               0.041207,              0.0011944,              0.0011944
                      4,                 2.2298,                  2.798,                  1.938,                0.07768,                0.11107,                  0.067,                0.02831,                 1.8284,                 2.1696,                 1.6158,               0.021601,               0.001589,               0.001589
                      5,                 1.8382,                 2.3828,                 1.6589,                  0.153,                0.15213,                0.10905,                0.05022,                 1.5947,                 1.8423,                  1.455,              0.0019941,              0.0019818,              0.0019818
                      6,                 1.6555,                 2.1416,                 1.5044,                0.20182,                0.17941,                0.13514,                0.06577,                 1.4698,                 1.6787,                   1.35,              0.0019775,              0.0019775,              0.0019775
                      7,                 1.5595,                 1.9611,                 1.4194,                0.21919,                0.20376,                0.16444,                0.08077,                 1.4323,                 1.5516,                 1.3125,              0.0019775,              0.0019775,              0.0019775
                      8,                 1.5142,                  1.842,                 1.3654,                0.25366,                0.22649,                0.18717,                0.09463,                 1.3993,                 1.4653,                 1.2691,               0.001973,               0.001973,               0.001973
                      9,                 1.4951,                 1.7581,                 1.3298,                0.26551,                0.24973,                0.20759,                0.10545,                 1.4068,                  1.423,                 1.2495,              0.0019685,              0.0019685,              0.0019685
                     10,                 1.4718,                 1.6782,                 1.2977,                0.28499,                0.24807,                0.21647,                0.11249,                 1.3776,                  1.376,                 1.2192,               0.001964,               0.001964,               0.001964
                     11,                 1.4732,                 1.6264,                 1.2772,                0.29027,                0.25892,                0.22817,                0.11751,                 1.4275,                 1.3491,                  1.215,              0.0019595,              0.0019595,              0.0019595
                     12,                 1.4661,                 1.5664,                 1.2539,                0.32489,                0.27179,                0.24613,                0.12947,                  1.383,                 1.3094,                 1.1881,               0.001955,               0.001955,               0.001955
                     13,                 1.4728,                 1.5285,                 1.2441,                0.33816,                0.27803,                0.25652,                0.13613,                 1.3869,                 1.2627,                 1.1743,              0.0019505,              0.0019505,              0.0019505
                     14,                 1.4626,                 1.4845,                 1.2267,                0.34599,                0.29039,                0.27388,                0.14537,                 1.3876,                 1.2386,                 1.1635,               0.001946,               0.001946,               0.001946
                     15,                 1.4682,                 1.4634,                 1.2218,                0.36635,                0.30239,                 0.2858,                0.15215,                 1.4243,                 1.2196,                 1.1671,              0.0019415,              0.0019415,              0.0019415
                     16,                 1.4773,                 1.4305,                 1.2054,                0.37305,                0.31098,                0.29326,                0.15308,                 1.4458,                 1.1998,                 1.1664,               0.001937,               0.001937,               0.001937
                     17,                 1.4684,                 1.4048,                 1.2029,                0.38247,                0.31698,                0.29901,                0.15845,                 1.4413,                 1.1854,                 1.1568,              0.0019325,              0.0019325,              0.0019325
                     18,                  1.467,                 1.3823,                 1.1938,                0.39392,                0.31925,                0.30459,                0.16146,                 1.4325,                 1.1726,                 1.1451,               0.001928,               0.001928,               0.001928
                     19,                 1.4745,                 1.3601,                 1.1882,                0.40824,                0.32446,                0.31476,                0.16791,                 1.4354,                 1.1554,                 1.1409,              0.0019235,              0.0019235,              0.0019235
                     20,                 1.4706,                 1.3412,                 1.1777,                0.40562,                0.33187,                0.31672,                0.16844,                 1.4299,                   1.15,                 1.1336,               0.001919,               0.001919,               0.001919
                     21,                 1.4677,                 1.3297,                 1.1796,                0.41678,                0.33381,                 0.3294,                0.17841,                 1.4101,                 1.1275,                 1.1237,              0.0019145,              0.0019145,              0.0019145
                     22,                 1.4647,                 1.3061,                 1.1666,                0.41069,                0.34397,                0.33334,                0.17815,                 1.4546,                 1.1221,                 1.1338,                0.00191,                0.00191,                0.00191
